KUWAIT	Division 1	Division 1		
				
LIBANO	Premier League	Premier League		
				
Lituania	A Lyga		A Lyga	
				
MALI	Premiere Division	Premiere Division		
				
MALTA	Premier League - Second stage - Main	Premier League		
MALTA	Challenge League	Challenge League		
				
MARRUECOS	Botola 2	Botola 2		
MARRUECOS	Botola Pro	Botola Pro		
				
MAURITANIA	Ligue 1	Ligue 1		
				
MEXICO	Liga MX - Clausura	Primera Division		
MEXICO	Liga de Expansión MX - Clausura	Expansion		
Mexico	Segunda Division			QUITAR
MEXICO	Liga Sub 23 - Clausura			QUITAR
				
NAMIBIA	Premiership	Premiership		
				
NICARAGUA	Liga Primera - Clausura	Liga Primera		
				
NIGER	Super Ligue	Super Ligue		
				
NIGERIA	NPFL	NPFL		
				
OMAN	Professional League	Professional League		
				
PAISES BAJOS	Eredivisie	Eredivisie		
				
PANAMA	LPF - Apertura	LPF		
				
PARAGUAY	Primera División - Apertura	Primera Division		
				
Peru	Primera División		Primera Division	
				
Polonia	 I liga		I Liga	
POLONIA	Ekstraklasa	Ekstraklasa		
				
PORTUGAL	Campeonato de Portugal - Group D	Liga 4		
PORTUGAL	Liga Portugal	Liga 1		
PORTUGAL	Liga Portugal 2	Liga 2		
PORTUGAL	Liga 3	Liga 3		
PORTUGAL	Liga Revelacao Sub-23 - Fase de perdedores			QUITAR
PORTUGAL	Liga Revelacao Sub-23 - Grupo de Campeonato			QUITAR
				
RUMANIA	Superliga	Liga 1		
Rumania	Liga 2		Liga 2	
				
SAN MARINO	Campionato Sammarinese	Liga 1		
				
Serbia	Super Liga		Super Liga	
				
SIERRA LEONA	Premier League	Premier League		
				
SUDAFRICA	Motsepe Foundation Championship	Motsepe Foundation		
SUDAFRICA	Premiership	Premier League		
				
Suecia	Allsvenskan		Allsvenskan	
				
SUIZA	Challenge League	Challenge League		
SUIZA	Super League	Super League		
				
TAILANDIA	Thai League 1	Liga 1		
TAILANDIA	Thai League 2	Liga 2		
				
TUNEZ	Ligue 1	Ligue 1		
				
TURQUIA	2. Lig Grupo Rojo	Liga 2		
TURQUIA	3. Lig Grupo 3	Liga 3		
TURQUIA	1. Lig	Liga 1		
TURQUIA	Süper Lig	Super Liga		
				
Ucrania	Premier League 		Premier League	
				
URUGUAY	Liga AUF Uruguaya - Apertura	Primera Division 		
Uruguay	Segunda Division		Segunda Division	
				
VENEZUELA	Liga FUTVE	Primera Division		
				
VIETNAM	V.League 2	Liga 2		
VIETNAM	V.League 1	Liga 1		
				
ZAMBIA	Super League	Super League		
